iter	MultiClass
0	1.587678506
1	1.565144364
2	1.54820065
3	1.53329296
4	1.517989936
5	1.500803485
6	1.487789881
7	1.475767352
8	1.463387624
9	1.451363319
10	1.444238259
11	1.435779157
12	1.424571128
13	1.414416487
14	1.404040934
15	1.396066379
16	1.39049544
17	1.381903055
18	1.37361373
19	1.372721314
20	1.360335489
21	1.351078713
22	1.344306477
23	1.338722851
24	1.332802801
25	1.322099739
26	1.308472756
27	1.299328882
28	1.288270576
29	1.28069888
30	1.272534157
31	1.257542003
32	1.244942243
33	1.238342501
34	1.233068148
35	1.221054912
36	1.215502875
37	1.212742332
38	1.209590841
39	1.201361154
40	1.198235812
41	1.19484578
42	1.181984907
43	1.168243958
44	1.157098647
45	1.140032305
46	1.128544855
47	1.123824546
48	1.11966137
49	1.108862389
50	1.10218059
51	1.096071564
52	1.086189516
53	1.081952873
54	1.074293087
55	1.069730984
56	1.060724888
57	1.05161303
58	1.040039787
59	1.029875392
60	1.022633507
61	1.017970636
62	1.008986619
63	1.003038086
64	0.997963315
65	0.9925174683
66	0.988007996
67	0.9827612048
68	0.9777746032
69	0.9745596936
70	0.9642481384
71	0.9555189143
72	0.9465337915
73	0.9421239351
74	0.9381097051
75	0.9279702413
76	0.9210208124
77	0.9156218621
78	0.9112104948
79	0.9040937118
80	0.8969890221
81	0.8904659732
82	0.8851606145
83	0.8779182536
84	0.8691919107
85	0.8572407827
86	0.8468651356
87	0.84050721
88	0.8370571119
89	0.8334077644
90	0.8281638907
91	0.8204536042
92	0.813521755
93	0.80785544
94	0.8051562875
95	0.8013283845
96	0.7927883421
97	0.7862073439
98	0.7832063901
99	0.779648489
100	0.7759432566
101	0.7712020704
102	0.7644134023
103	0.7586469899
104	0.7552717796
105	0.7510422741
106	0.7471578694
107	0.7439406705
108	0.737938235
109	0.7341565081
110	0.7301985121
111	0.7229594836
112	0.7152431281
113	0.7108908654
114	0.705686596
115	0.7016803977
116	0.6958504654
117	0.6917385807
118	0.6859831892
119	0.6778950937
120	0.6739886522
121	0.6691667413
122	0.6639418973
123	0.6579537832
124	0.6546452855
125	0.6501103808
126	0.6457660213
127	0.6440731417
128	0.6397486074
129	0.6364410967
130	0.6298094851
131	0.6256966705
132	0.6233599756
133	0.6191747209
134	0.6162683259
135	0.6122418815
136	0.610263678
137	0.6073234129
138	0.6035767692
139	0.6004741475
140	0.5967923994
141	0.5956448552
142	0.5903635734
143	0.5847982425
144	0.5811463046
145	0.5774258798
146	0.5740526645
147	0.5711759035
148	0.5674872338
149	0.562648346
150	0.5609535472
151	0.5531361323
152	0.5500075708
153	0.5459570056
154	0.5426881765
155	0.5392260235
156	0.5358598821
157	0.5326453165
158	0.5309921152
159	0.5280372235
160	0.5237759783
161	0.5194378441
162	0.517027065
163	0.5134797888
164	0.5121205152
165	0.508712784
166	0.5029060622
167	0.4988144107
168	0.4970751171
169	0.494135929
170	0.4932858209
171	0.4887370372
172	0.485139575
173	0.4817166774
174	0.4802868577
175	0.4775165206
176	0.4749309761
177	0.4731130594
178	0.4705623062
179	0.4686029867
180	0.46777178
181	0.4641130555
182	0.4614674388
183	0.4599266866
184	0.4591944654
185	0.4569389239
186	0.453969509
187	0.4521021974
188	0.4497794635
189	0.447024459
190	0.444336309
191	0.4422746636
192	0.4413624154
193	0.4379249205
194	0.4346452883
195	0.4336500733
196	0.4325987898
197	0.4305101447
198	0.4254152996
199	0.4215062235
200	0.4181219545
201	0.4159075212
202	0.4125593273
203	0.4102377754
204	0.4075715288
205	0.4047370945
206	0.4013022033
207	0.4005136536
208	0.3987943489
209	0.3971169126
210	0.3941190493
211	0.3916613084
212	0.3896306645
213	0.3880783602
214	0.3846309665
215	0.3815648137
216	0.377385816
217	0.3759060628
218	0.3742010593
219	0.3725009423
220	0.3702356088
221	0.3678417104
222	0.3672683108
223	0.3637993679
224	0.3633550638
225	0.3611446818
226	0.3598336891
227	0.357560421
228	0.3565179439
229	0.3536550267
230	0.3520205374
231	0.3509119276
232	0.3496589171
233	0.3471720604
234	0.3460356786
235	0.3443927176
236	0.3415445608
237	0.3395361048
238	0.3378836824
239	0.3364492275
240	0.3359377348
241	0.333580795
242	0.3307537149
243	0.3297874945
244	0.3277581957
245	0.3268546741
246	0.3239807238
247	0.3225684957
248	0.3218362878
249	0.3199108991
250	0.3189801876
251	0.3172501812
252	0.3150654323
253	0.3124369017
254	0.3108919977
255	0.3091023604
256	0.3073469908
257	0.3068789496
258	0.3060259536
259	0.3046114974
260	0.3036682504
261	0.3023164202
262	0.3005537567
263	0.299101211
264	0.2979132852
265	0.2963748104
266	0.2941707535
267	0.2919688047
268	0.2914359401
269	0.2902056986
270	0.2881808396
271	0.2875120281
272	0.2857686684
273	0.2847079698
274	0.2837326516
275	0.2828994587
276	0.2820801543
277	0.2802770224
278	0.27911376
279	0.2783835204
280	0.2773380945
281	0.2769349584
282	0.2754622146
283	0.2740799006
284	0.2728781639
285	0.2716240676
286	0.2703196879
287	0.2695027766
288	0.2680751157
289	0.2669197243
290	0.265493131
291	0.264086637
292	0.2628159944
293	0.2617937095
294	0.2607080469
295	0.2588245225
296	0.2577272413
297	0.2558615198
298	0.2553682833
299	0.2542081449
